English	Chinese	Yang 2015 #	Proto-Ngwi	Bradley 1979 #	*Proto-Ni (Lama 2012)	*Proto-Lolo-Burmese (Matisoff)	*Burmese-Ngwi (Li Yongsui 2010)	PTB (Matisoff 2002)	ProtoLalo (Yang 2015)	PN Tone	PN Initial order	PN Initial type	Hani-Longwei	Hani-Qiepu	Hani-Luchun 	Haoni	Lahu Na	Ghomozo	Kuansi 	Lavu	Talu	Xuzhang	W-Shanglizhuo	Yangliu	C-Leba	CE-Yong'an	E-Diaocao	E-Houshan	E-Taoshu	Eka	S-Mangdi	C-Qingsheng	SE- Gaoping	C-Chajiang	C-Qingyun	C-Longjie	W- Yilu	W-Shuizhuping	W-Dutian	C-Wachang	Lisu	Luquan Lisu	Tengchong Lisu	Weixi Lisu	Yongsheng Lisu	C-Lolo	E-Lolo	Jinggu Limi	Limi	Lipo	Maang	Mondzi	Mongi	Alo	Kopo (Gepo)	Naso	Nasu	Luowu Nisu	Nipu	Nersu	Nise	Laowu Nisu	Noso	Narsu	Neshu	Nesu	Lope (Awu) (Chen 2010)	Lope (Awu) (YYFC 1983)	N. Nisu	S. Nisu	Lidim	Nuosu (Huang & Dai 1992)	Nosu (Xide)	Sodi	Senza	Yino	Axi	Azhe	Sani	Azha [aza] Pelkey 2011	Sanni (Sanie)	Phola [ypg]	Phuza [ypz]	Southern Muji [ymc]	Hlepho Phowa [yhl]	Kazhuo	Lawu-Xinping Shuitang Jiuha	Toloza
FEW	少	903	*nay²	753			*nheŋhB		ne²	2	5	*m	nɯ⁴²	nɯ⁵³	nɔ³¹	ʃɔ³¹	i³³	ni⁴²	ɕu³³	ni²¹	ni²¹	nɛi²¹	dzɿ³³ne²¹	ai²¹		ni̤²¹	nei²¹	ni²¹	ni²¹	saŋ⁵⁵la²¹	nɛ²¹		tsʰa³³		ʔni̤²¹	ĩ²¹	ʂao²¹	hẽ⁴⁴ma²¹tʂʰʅ²¹	ne²¹		ne⁵⁵							ʂʰɐʊ²¹(借汉方言)	ni⁵⁵				bi⁴⁴a⁴⁴	nɚ³³	nɛ⁵⁵	nɯ³³	tɕʰɔ²¹tsʰi³³	nɛ˞³³	ɳɤ³³	ɳe³³	ʂo̱²¹	nɛ³³	nɛ³³	na³³	nɪ³³	nɛ³³	ʂo̱²¹		ʂᴀ²¹	nᴀ³³	i³³ȵi³³	i³⁴ȵi³³		i³³ȵo³³	i³⁴ȵi³³	i²²ȵi²²			ʂo²	mɨ̠⁴⁵	ni²¹	næ³¹	tʰa³³ʣi⁵⁵lja⁵⁵	so²¹	sɔ²¹	mɛ⁵⁵		nɤ⁵⁵
WIDE	宽	904	*glay¹	527		ʔ-wan¹ or hwan¹	*lamA		fe¹				gi³⁵	jɛ³⁴	je⁵⁵	khuã³³	fe³³, qɛ³¹	kʰua³³	kʰuã³³, la²¹ sa⁵⁵	kʰu³³a³³	kʰu³³a³³										fɛ⁵⁵		kʰuan³³			fɛ⁵⁵					ʃe⁴⁴							ɕi³³	ʐa²¹				ke¹³i¹³	fe³³	dɛ³³	fe³³	fe³³	ntʰɯ²¹ntʰɯ²¹ntʰa⁵⁵ntʰa³³	ɖa³³	ɖe²¹	hi²¹	kʰua⁵⁵	dɛ²	ɣɛ³³	fi⁵⁵	ɣɛ³³	dɛ²¹		fiɛ⁵⁵		a³³fi³³	ɑ³³dʑɿ³³		a³³dʐi³³	a³³fi³³	a²²fi²²			ʑae²¹	kʰjɞ³³	kʰu⁵¹a⁵¹	qʰɔ⁵⁵	dɮjɛ³¹	ʑi¹³	dɮi²¹	khoa⁵⁵		kʰu³³a³³
NARROW	窄	905	*ʔ-nakL	526		gyapᶫ; ʔ-gyiŋ² constricted	*ŋ̊lăpD/*klăpD		ʔɲa̠ᶫ	L	17	*ʔm	the⁴²	thɛ⁵³	the³¹	tsɤ³⁵	tso²¹	tsɛ̠³³	tsuã³³	tsɤ²¹	tsɤ²¹										ɲɑ̠³³		tʂʅ⁴⁴			kʰɨ̠³³					fu⁵⁵, tshɿ⁴⁴							tsɯ²¹(借汉方言)	ʐo³³				kui⁵³	ɣu³³	ɣo⁵⁵	tsʰɯ³³	ɣu³³	zɤ³³	ɣɒ³³	ɣu³³	ɣo³³	tsai⁵⁵	vu³³	tsɤ̱²¹	nɤ³³	tsɤ̱²¹	ɣo³³		tʂɤ̠²¹		i³³dʑi³³	i³⁴dʑɿ³³		i³³dʐi³³	i³⁴dʑi³³	i²²dʑi²²			ɣo³³	ʦɜ²¹	tʂə̱⁵¹	ʦɨ³¹	ʦə¹³	ȵɛ⁵⁵	ɣo²¹	tsɛ²⁴	i⁵⁵	tʂɛ³³
BIG	大	906	*k/ʔ-ri²/	756.1	*ɣri¹	k-ri(y)²	*ghruihB		ɣɛ²	2	20	*k- l	xɯ⁴²	xɯ⁵³	xɯ³¹	xɯ³¹	ə¹¹	tso²¹	wa²¹	ɣa²¹	ɣa²¹	ɣɛ˞²¹	vɛ˞²¹	ɣɛ˞²¹	ɣɨ²¹	ɦɛ²¹	ɣɛ²¹	ɣɛ˞²¹	ɣɛ²¹	ʝɛ²¹	ʝɛ²¹	ʑɛ²¹	ʑi²¹	jɛ²¹	vɛ̤²¹	ɣɨ²¹	ɣɨ²¹	ɣɛ˞²¹	ɣɛ˞²¹	vɛ²¹	vu³¹					jæ²¹	ɣɛ²¹	ʑa²¹	ʐæ²¹	vɛ̠³¹	kɑ̱ŋ³⁵	du¹³	ʑi⁴⁴	ɣɔ³³	ɣɛ²¹	ɣɔ³³	ɣǫ³³	ɣɔ³³	ɣe³³	ɣe³³	ɣɛ³³	wo³³	ɣɛ³³	ɣɛ³³	ɣɚ³³	ɣɛ³³	ɣɛ³³	ɣæ̱˞³³	ɣE³³	ɣɛ³³	a³³ʑi³³	ɑ³⁴ʑɿ³³	a⁴⁴ʑɿ³³	a³³ʑi³³	a³⁴ʑi³³	a²²ʑi²²	ɣa²¹	ɣɛ²¹	ʑae²¹	ʁʌ³³	ɣɚ²¹	ʑæ³¹	ɣjɛ¹³	ʑi¹³	zɿ²¹	ɣɤ³¹	ɣə³³	ɣɛ³³
LITTLE	小	907	*n-yay¹	757	*ŋiɑ¹	ʔ-zəy¹/²	*ŋaiA		ɲa¹	1	7	*m-l	n̩³⁵	n̩³⁴	ɲi⁵⁵	mɯ⁵⁵	i³³	ʔjo⁵⁵	ʔja³³	ʑa⁵⁵	ʑa⁵⁵	ɲa⁴⁵³		ɲo³³									ia⁴⁴								ʒo⁴⁴					ja³³	ja³³	ʐɔ³³		ʐɤ⁵⁵	ʔdiʔ⁵⁵	ia⁵³	ʑa⁵³	ȵɔ³³	na³³	ȵɔ³³	ȵǫ³³	ȵɔ³³	ba²¹	ba⁵⁵	ȵɛ³³	niau³³	bɛ⁵⁵	ȵɛ³³	nɚ⁵⁵	ŋɛ⁵⁵	ȵɛ³³	ȵæ̱˞⁴⁴	nE⁵⁵	ȵɛ⁵⁵	ɪ̱⁵⁵tsi̱³³	e⁵⁵tsɿ̠³³	ʔe⁵⁵ʦɿ̠³³	ɪ̱⁵⁵tsi̱³³	ɪ̱⁵⁵tsi̱³³	ɪ̱⁵⁵tsi̱²²	na³³	ŋɛ³³	ȵae⁵⁵	ȵʌ⁴⁴	ʐɚ³³	i⁵⁵	za³³	ȵɛ³³	ʔȵɔ³³	niɛ²⁴	i⁵⁵	pi⁵⁵
DEEP	深 (水深)	908	*ʔ-nakL	526	*s/ʔ-nakL	nakL ~ ʔnakL; ʔ-nakL	*n̥hăkD		ʔne̠ᶫ	L	17	*ʔm	na⁴²	na⁵³	na̠³¹	na³¹	nᴀ³⁵	na̠²¹	ʔna̠²¹				ne⁵³	nai⁵³	niɛ̠²¹	niɛ̠²¹	nei⁴²	ni̠²¹	ni̠²¹	ni̠²¹	nɛ̠²¹		ni⁵⁵	ni̠²¹	nɛ̠²¹	næ̠²¹	nɛ⁴⁵³	nɛʔ⁴⁵³	ne⁴⁵	niɛ̠²¹	nɛ⁵⁵					ne̠⁵⁵	na̠⁵⁵	ne̠⁵⁵	ne⁵⁵	næ⁵¹	liu⁵⁵	ʂa⁴⁴						na̠⁵⁵				sɿ¹³						na⁵⁵	ni̠ɛ̠²¹			ɑ³³m̥u³³	a³³n̥u⁵⁵				ne̱⁵⁵	ȵɪ̠⁵⁵		nɛ⁴⁴						na³⁵	na³³	
SHALLOW	浅 (水浅)	909	*tim²	526	*di¹		*dhemA		ma²ʔne̠ᶫ				ma⁵⁵na³¹	tʰi³⁴	te̠³³	lɛ⁵⁵sɿ̠³³	mᴀ⁵³nᴀ³⁵	tɕʰi³³					ma²¹ne⁵³			ma²¹niɛ̠²¹		ma²¹ni̠²¹		ma³³ni²¹	ma²¹nɛ̠²¹		ma²¹ni⁵⁵		ma̤²¹nɛ̠²¹	ma²¹næ̠²¹	ma²¹nɛ⁴⁵³	ba²¹		mɑ²¹niɛ̠²¹	thɛ³¹							te³³	te⁵⁵		qen³⁵	ʨhe⁵³						de²¹				tsʰei³³						dei⁴⁴	mᴀ²¹ni̠ɛ̠²¹			i³⁴m̥u³³	i³³n̥u⁵⁵				dɯ³³	dʉ⁵⁵								tɛ³²³		
LIGHT	轻	910	*laŋ¹	564	*lo¹		*lhaA/*loA/*ʒhaŋA/*sumhB		laŋ¹	1	7	*l	pha³⁵	pʰa³⁴	phja⁵⁵	phɔ⁵⁵	lɔ³¹	lo²⁴	la⁵⁵	la⁵⁵	la⁵⁵	la²⁴	lu²⁴	lu³³	lu⁵⁵	lu²⁴	la²⁴	la²⁴	la²⁴	la²⁴	la⁵⁵	lu⁵⁵	lɛ⁴⁴	lu⁵⁵	lu⁴⁵	lu⁵⁵	lu²⁴	lu²⁴	la²⁴	lu⁵⁵	lo³³					la³³	la³³	lɔ³³	lo²⁴	la³³	lia⁵⁵	tʂɔ⁵³	lɔ¹³	lɒ²¹	lu³³	lɔ²¹	lɔ²¹	lɔ²¹	lɔ²¹	lo²¹	lo²¹	lɔ²¹	lɔ²¹	la²¹	la²¹	la²¹	lo²¹	lo̱²¹³	lᴀ²¹	lᴀ²¹	ʑo³³so³³	ʑo³⁴so³³	ʑo⁴⁴so³³, i⁴⁴lɿ³³	ʑo³³so³³	ʑo³⁴so³³	ʑo²²so²²	lu³³	ɭʉ²²	lo³³	lɯ²¹	lu³³	lɛ³³	lɔ³¹	lo²¹	lə²¹	lo³²³	pʰa⁵⁵	lo²¹
HEAVY	重	911	*C-li²	564	*sli¹		*l̥haihB		li²	2	6	*C-l	tɕʰɯ³¹	tɕʰɯ³⁴	ɕɔ³³	tʃhɯ³³	xɔ⁵³	ʑi³¹	zɿ²¹	li²¹	li²¹	ʐʅ²¹	ʐʅ²¹	ʝi²¹	ji²¹	i̤²¹	li²¹	li²¹	zɿ²¹	lɨ²¹	wu⁵⁵lu²¹	li²¹	li²¹	li²¹	ʐʅ²¹,kɨ⁵⁵ɲi⁵⁵	ʑi²¹	ʝi²¹	ʝi²¹	ʐʅ²¹	ʝɛ²¹	li³¹					li²¹	li²¹	li²¹	li²¹	li̱²¹	khen³⁵	kha⁴⁴	le⁴⁴	li³³	li²¹	li³³	li³³	li³³	li³³	li³³	li³³	li³³	li³³	li³³	li³³	li³³	li³³	lɪ³³	li³³	li³³	a³³l̩³³	ɑ³⁴l̩³³	a⁴⁴lɿ³³	a³³l̩³³	a³⁴l̩³³	a²²l̩²²	ɬɯ²¹	ɭi²¹	l̩²¹	xji³³	ʐi²¹	li³¹	li¹³	ni⁵²	ȵo⁵⁵	zɿ³¹	nəŋ²¹	lɤ⁵⁵
THICK (2d)	厚	912	*tu¹	531	*thu¹				tʰu¹	1	9	*p	thv̩³⁵	tʰv̩³⁴	thu⁵⁵	xɛ⁵⁵	thu³³	tʰv̩˞⁵⁵	kɯ²¹ tʰɤ⁵⁵	tʰu⁵⁵	tʰu⁵⁵	tʰɤ̪˞⁴⁵³	tʰɤ̪²⁴	tʰo̪³³	tʰv̩⁵⁵	tʰə⁵⁵	tʰɤ̪⁵⁵	tʰɤ̪⁵⁵	tʰɤ̪⁵⁵	tʰv̩²⁴	tʰu⁵⁵	tʰv̩⁵⁵	tʰu⁴⁴	tʰv̩⁵⁵	tʰə⁵⁵	tʰv̩⁵⁵	tʰɲv̩⁴⁴	tʰv̩²⁴	tʰv̩²⁴	tʰv̩⁵⁵	thu⁴⁴					tʰu³³	tʰo̠³³	tʰu̠³³	tʰu³³	tʰu³³	thu³³	thu¹³	tʰo¹³	tʰu³³	tʰo³³	tʰu³³	tʰu³³	tʰv̩²¹	tʰu³³	tʰu¹³	tʰɯ³³	tʰu²¹	tʰu⁵⁴	tʰu⁵⁵	tʰu²¹	tʰu²¹	tʰɯ³³	thɯ̱²¹³	thu²¹	tʰu²¹	a³³tu³³	ɑ³³tu³³	a⁴⁴tu³³	a³³tʰu³³	a³³tu³³	a²²tu²²	tho³³pu̱³³mo³³	tho²²	tʰu⁴⁴	tʰœ²¹	tʰu³³	tʰu⁵⁵	tʰɯ³¹	tʰɯ²¹	tʰo²¹	tshɿ³³/pɛ³¹	tʰu⁵⁵	tʰu³³
THIN (2d)	薄	913	*ba² & *C-jokL	533	*bo¹	po³¹	*bhahB		ba²	2	1	*b	pa⁴²	pa⁵³	ba³¹	po³⁵/pɔ³¹	pᴀ⁵³	pɔ²¹	kɯ²¹ bu²¹	bu²¹	bu²¹	bo²¹	ba²¹	ba²¹	bɑ²¹	ba̤²¹	bɔ²¹	bɔ²¹	bu²¹	bo²¹	bo²¹	bɑ²¹	bo²¹	bɑ²¹	ba̤²¹	ba²¹	bɐ²¹	ba²¹	bo²¹	bɑ²¹	bɑ³¹					bo²¹	bo²¹	po²¹	bo²¹	bo̱²¹	pa³⁵	pɔ²¹	pɔ⁴⁴	bu³³	bo²¹	bo³³	bo³³	bo³³	bu³³	bu³³	bu³³	bu³³	bo³³	bo³³	bo³³	bo³³	bu³³	bu³³	bo³³	bo³³	i³³bo³³	i³⁴tu³³	i⁴⁴tu³³, i⁴⁴bo³³	i³³bo³³	i³⁴bo³³	i²²bo²²	bo²¹tɛ³³zo³³	bo²¹	bɑ²¹	pɔ²²	ba²¹	pɑ⁵²	ba¹³	ba¹³	ba²¹(-la³³la³³)	pa³¹	pa²¹	bɤ³³
THICK (3d)	粗 (粗大)	914							ta³				xɯ⁴²		ə¹¹	xɯ³¹	vu³¹	tsʰõ⁵⁵	pʰə³⁵			po³³	tʰy²⁴	ɣɛ˞²¹	ta³³	ta³³		tɔ³³		jɛ²¹	kɛ⁵⁵		tsʰu³³		ta³³	ta³³	pa²⁴n̩²¹dɛ³³	ta³³		tɑ³³																		tɕʰu³³				tu³³							ɕi̠ɛ̠³³	ɣɛ³³		ɑ³³fu³³														ɣɤ³¹	ɣə³³	
THIN (3d)	细 (细小)	915							tsʰi¹				n̩³⁵		i³³	pi⁵⁵	tshɿ⁴⁴	mu̠⁴²	se⁵⁵			ɲa⁴⁵³		mo⁵³	tsʰɿ⁵⁵	tsʰɿ⁵⁵̟	tɕʰi⁵⁵	tsʰɿ⁵⁵	mu²¹	mɨ³³	mu³³		ɕi⁵⁵	tsʰɿ⁵⁵	tsʰɿ⁵⁵	tsʰɿ⁵⁵	tsʰɿ⁴⁴	tsʰɿ⁵⁵		tsʰɿ⁵⁵																		tsʰɛ˞³³				tɕiɛ³³							tshE⁵⁵	ɕi⁵⁵		i³⁴fu³³														niɛ²⁴	xi³³, a⁵⁵ɕi³³ɕi³³	
HOW FAR?	有多远？	916	*a, *ka¹-X³³dʐu⁵⁵											xa⁴⁴ȵa⁴²　xɤ⁵³				a³³nɔ³³tɕɔ²⁴vv̩²¹				a²¹dɨ²⁴mo³³si²¹ʝi²¹	a³³ma³³sɿ²¹ga²⁴ma³³dʐu²⁴	kʰa³³kʰɨ³³vai²¹dzɛ˞³³	ɑ²¹mɑ²¹sɿ²¹mi⁵⁵jɛ²¹							a²¹tɛ⁵⁵n̩²¹sɿ²¹ʑi²¹	a⁴⁴ti⁴⁴me⁵⁵vi²¹	a²¹tɛ⁵⁵sɿ²¹jɛ²¹			ɐ³³mɐ³³sɿ²¹ʝi²¹	a³³ma³³sɿ²¹ʝi²¹	a³³mo²¹ʝi²¹sɿ³³dʐa²⁴	a²¹tɨ⁵⁵sɿ²¹ji²¹								a²¹tu³³ɣɯ³³ʐu²¹	a²¹du²⁴gu³³dʐæ²⁴																																							
HOW HIGH?	有多高？	917	*a, *ka¹-X dʐu⁵⁵											xa⁴⁴ȵa⁴²　ko⁵³				mv̩˞⁵⁵mi⁵⁵a³³nɔ³³				a²¹dɨ²⁴mo³³si²¹ɨ̃⁴⁵³	a³³tia³³õ²⁴sɿ²¹dʐu²⁴	kʰa³³kʰɨ³³õ³³dzɛ˞³³	ɑ²¹mɑ²¹sɿ²¹ṽ⁵⁵							a²¹tɛ⁵⁵n̩²¹sɿ²¹m̩⁵⁵	a⁴⁴ti⁴⁴me⁵⁵mɨ⁴⁴	a²¹tɛ⁵⁵sɿ²¹m̩⁵⁵			ɐ³³mɐ³³sɿ²¹ɨ̃⁴⁴	a³³ma³³sɿ²¹õ²⁴	a³³mo²¹ɨ̃²⁴sɿ³³dʐa²⁴	a²¹tɨ⁵⁵sɿ²¹ṽ̩⁵⁵								a²¹mu³³ɣɯ³³ʐu²¹	a²¹du²⁴mu³³dʐæ²⁴																																							
HOW LONG?	有多长？	918	*a, *ka¹-X dʐu⁵⁵											xa⁴⁴ȵa⁴²　mo³⁴				ɕi⁵⁵mi⁵⁵a³³nɔ³³				a²¹dɨ²⁴mo³³si²¹ʂʅ⁴⁵³	a³³tia³³ʂʅ²⁴ʂʅ²¹dʐu²⁴	kʰa³³kʰɨ³³sɿ³³dzɛ˞³³	ɑ²¹mɑ²¹sɿ²¹ʂʅ⁵⁵							a²¹tɛ⁵⁵n̩²¹sɿ²¹sɿ⁵⁵	a⁴⁴ti⁴⁴me⁵⁵ʂʅ⁴⁴	a²¹tɛ⁵⁵sɿ²¹sɿ⁵⁵			ɐ³³mɐ³³sɿ²¹ʂʅ⁴⁴	a³³ma³³sɿ²¹ʂʅ²⁴	a³³mo²¹ʂʅ²⁴sɿ³³dʐa²⁴	a²¹tɨ⁵⁵sɿ²¹ʂʅ⁵⁵								a²¹tu³³ʂʅ³³ʐu²¹	a²¹du²⁴ʂʅ³³																																							
HOW WIDE?	有多宽？	919	*a, *ka¹-X dʐu⁵⁵											xa⁴⁴ȵa⁴²　jɛ³⁴				kʰua³³mi⁵⁵a³³nɔ³³				a²¹dɨ²⁴mo³³si²¹kʰuã³³	a³³tia³³kʰuã⁴⁴sɿ²¹dʐu²⁴	kʰa³³kʰɨ³³kʰua⁵³dzɛ˞³³	ɑ²¹mɑ²¹sɿ²¹kʰuaŋ³³								a⁴⁴ti⁴⁴me⁵⁵kʰuan³³	a²¹tɛ⁵⁵sɿ²¹kʰuan³³			ɐ³³mɐ³³sɿ²¹kʰuã⁴⁴		a³³mo²¹kʰuã⁴⁴sɿ³³dʐa²⁴	a²¹tɨ⁵⁵sɿ²¹kʰuan³³								a²¹tu³³ɕi³³ʐu²¹	a²¹do²⁴ʐa³³																																							
HOW BIG?	有多大？	920	*a, *ka¹-X³³dʐu⁵⁵											xa⁴⁴ȵa⁴²　xɯ⁵³				tsu²¹mi⁵⁵a³³nɔ³³				a²¹dɨ²⁴mo³³si²¹ɣɛ˞²¹	a³³tia³³vɛ˞²¹sɿ²¹dʐu²⁴	kʰa³³kʰɨ³³ɣɛ˞²¹dzɛ˞³³	ɑ²¹mɑ²¹sɿ²¹ɣɨ²¹							a²¹tɛ⁵⁵n̩²¹sɿ²¹ʑɛ²¹	a⁴⁴ti⁴⁴me⁵⁵ʑi²¹	a²¹tɛ⁵⁵sɿ²¹jɛ²¹			ɐ³³mɐ³³sɿ²¹ɣɨ²¹	a³³ma³³sɿ²¹ɣɛ˞²¹	a³³mo²¹ɣɛ²¹sɿ³³dʐa²⁴	a²¹tɨ⁵⁵sɿ²¹vɛ²¹								a²¹tu³³ʑa³³ʐu²¹	a²¹do²⁴ʐa²¹																																							
HOW DEEP?	有多深？	921	*a, *ka¹-X³³dʐu⁵⁵											xa⁴⁴ȵa⁴²　na⁵³				na̠⁴²mi⁵⁵a³³nɔ³³					a³³tia³³ne⁵⁵sɿ²¹dʐu²⁴	kʰa³³kʰɨ³³nai⁵³dzɛ˞³³	ɑ²¹mɑ²¹sɿ²¹niɛ̠²¹								a⁴⁴ti⁴⁴me⁵⁵ni⁵⁵	a²¹tɛ⁵⁵sɿ²¹ni̠²¹			ɐ³³mɐ³³sɿ²¹nɛ⁴⁵³	a³³ma³³sɿ²¹nɛ⁴⁵³	a³³mo²¹ne⁵⁵sɿ³³dʐa²⁴	a²¹tɨ⁵⁵sɿ²¹niɛ̠³³								a²¹tu³³ne⁵⁵ʐu²¹	a²¹do²⁴dzɛ³³nɛ⁵⁵																																							
HOW HEAVY?	有多重？	922	*a, *ka¹-X³³dʐu⁵⁵											xa⁴⁴ȵa⁴²　tɕʰɯ⁵³				ʝi²¹mi⁵⁵a³³nɔ³³				a²¹dɨ²⁴mo³³si²¹ʐʅ²¹	a³³tia³³ʐʅ²¹te⁵³	kʰa³³kʰɨ³³ʝi²¹dzɛ˞³³	ɑ²¹mɑ²¹sɿ²¹jɛ²¹							a²¹tɛ⁵⁵n̩²¹sɿ²¹li²¹	a⁴⁴ti⁴⁴me⁵⁵li²¹	a²¹tɛ⁵⁵sɿ²¹li²¹			ɐ³³mɐ³³sɿ²¹ʝi²¹		a³³mo²¹ʐʅ²¹sɿ³³dʐa²⁴	a²¹tɨ⁵⁵sɿ²¹jɛ²¹								a²¹tu³³li³³ʐu²¹	a²¹do²⁴dzɛ³³li²¹																																							
one	一	923	*ti²	478	*tha²	C-tikL, ti²	*tăsD/*tʃhihB/*dhahB/*daA		tʰi²				thi³¹	tɕʰi⁵³	tɕhi³¹	thi³¹	te⁵³	ti²¹	tɕʰi²¹	tɕʰi²¹	tsʰi²¹	tʂʅ²¹	tʂʅ²¹	tsɿ²¹	tʂʰʅ̥²¹	tsʰɿ̤²¹	tsɿ²¹	tsɿ²¹	tsɿ²¹	tʰi²¹	tɕʰi²¹	tsʰɿ²¹	tsʰɿ²¹ / tsʰoŋ⁴⁴	tsʰɿ²¹	tʂʰʅ̥²¹	tʂʰʅ̥²¹	tʂʰʅ²¹	tʂʰʅ²¹	tʂʅ²¹	tʂʰʅ̥²¹	thi³¹	tʃʰi³¹	tʰi³¹	tʰi³¹(mɑ⁴⁴)	tʃʰɿ³¹	tʰe²¹	tʰi²¹	tʰi²¹mʊ³³	tʰi²¹	tɕʻi³³mo³³	thi³⁵	ta²¹(ɔ⁴⁴)	ta²¹	tʰa̱²¹	tsʰi²¹	tʰa²¹	tʰa̱²¹	tʰɑ²¹	tʰa²¹	tʰa²¹	ta²¹	a¹³mu³³	ta²¹	tʰi²¹	tʰi²¹	tʰe²¹	tʰi²¹	thɪ²¹	thiɛ²¹	tʰʲe²¹	tsʰi²¹	tshɿ²¹	ʦhɿ²¹	tsʰi²¹	tsʰi²¹	tsʰi⁴²	thi²¹	ʦhi²¹	tʰi²¹	ti³³	tʰi²¹	tʰi³³	tʰa³³	a²¹	ta³³	tɛ³¹	tʰi³³	tɕʰi³³
two	二	924	*s-ni(k)²/L	479	*ʔnitH	nitL ~ ni² ~ ʔnitL; ʔ-nitL ~ ni²	*n̥hăsD		ni²				n̩³¹	n̩⁵³	ɲi³¹	ȵi̠³¹	ni⁵³	ɲi²¹	ɲi²¹	ȵi²¹	ȵi²¹	n̩²¹	n̩²¹	ni²¹	n̩²¹	ʔŋ²¹	ŋ̩²¹	ŋ̩²¹	n̩²¹	ŋ̩²¹	n̩²¹	m̩²¹	n̩²¹	n̩²¹	ŋ̩²¹	ŋ̩²¹	m̩²¹	n̩²¹	ni²¹	ŋ̩²¹, ə̃²¹	ɲi³¹	ȵi³¹	ȵi³¹	ȵi³¹(mɑ⁴⁴)	ȵi³¹	n̩²¹	ne²¹	n̩²¹nɯ⁵⁵	n̩²¹ / ɲi²¹	nɤ²³	ni³⁵	ni⁴⁴(ɔ⁴⁴)	ne²¹	ȵi⁵⁵	n̩²¹	ȵi⁵⁵	ȵi⁵⁵	ȵi⁵⁵	ȵi⁵⁵	ȵi⁵⁵	n̩⁵⁵	ni³³mu³³	ȵi⁵⁵	ni²¹	ni²¹	ni²¹	ȵi²¹	ȵɪ²¹	ni²¹	ȵi²¹	ȵi²¹	ȵi²¹	ȵi²¹	ȵi²¹	ȵi²¹	ȵi⁴²	ni²¹	ni²¹	n̩²¹	ni³³	n̩²¹	ȵi³¹	ȵi³³	ȵi²¹	n̩³³	ŋ³¹	n̩²¹	ȵi⁵⁵
three	三	925	*C-sum²	480	*sum¹	sum²	*shuamA/*shomhB		sa¹/³	2	12	*C-s	sm̩³¹	sɔ⁵³	sɔ⁵⁵	su⁵⁵	sɛ⁵³	sɔ⁵⁵, sɔ³³	su⁵⁵	sɑ⁵⁵	sa⁵⁵	so³³	sa²⁴	sa³³	sa³³, sa⁵⁵ly²¹	sa³³	sɔ⁵⁵	sɔ³³	sɔ³³	so³³	sa⁵⁵	sɑ³³	so⁴⁴	sɑ³³	sa³³	sa³³	sɐ³³/⁴⁴	sa²⁴	so³³	sɑ³³	sɑ⁴⁴	so³³	sɑ⁴⁴	sɑ³³	sɑ⁴⁴	so³³	so³³	so³³lɯ⁵⁵	so³³	ʂʻu³³lə²¹	sɔŋ³³	soŋ¹³(ɔ⁵³)	sɔ¹³	sɒ³³	sɯ³³	sa³³	sa̱³³	sɔ³³	sɯ³³	se²¹	sɯ³³	sə³³mu³³	sɯ³³	sa⁵⁵	sa⁵⁵	sa⁵⁵	sɤ³³	sə⁴⁴	ʂᴀ⁵⁵	sᴀ⁵⁵	so̱³³	sɔ³³	sɔ³³	so̱³³	so̱³³	so̱²²	si³³	sɯ³³	sɤ⁵⁵	sɨ⁴⁴	sɯ³³	sɛ⁵⁵	sʌ⁵⁵	so⁵⁵	sa⁵⁵	si³³	su³³	sɑ³³
four	四	926	*b-le²	481	*ʔli¹	ʔ-ləy², b-ləy²	*mihB/*l̥hehB/*l̥hiA		ʔli³				ø³¹	ø⁵³	ø̠³¹	li³¹	ɔ⁵³	ʑi⁵⁵, ʑi³³	ɿ⁵⁵	li⁵⁵	li⁵⁵	ʐʅ³³	ʐʅ³³	ji³³	i³³, i⁵⁵ly²¹	i³³	li³³	i³³	zɿ³³	li³³	lɨ³³	li³³	i⁵⁵	li³³	ʔʐʅ³³	i³³	i³³/⁴⁴	ʐʅ³³	ʐʅ³³	ʐʅ³³	li³³	li³³	li³³	li⁴⁴lẽ³¹	li³³	li³³	li³³	li³³lɯ⁵⁵	li³³	li̱³³	lai³⁵	lɛ¹³(ɔ⁵³)	le¹³	ɬi³³	ɬi³³	ɬi³³	ɬi³³	ɬi³³	ɬi³³	di¹³	ɬi³³	ɕi⁵⁵mu³³	ɬi⁵⁴	ɬi⁵⁵	ɬi⁵⁵	ɬi⁵⁵	ɬi³³	ɬɪ⁴⁴	ɬi⁵⁵	ɬi⁵⁵	l̩³³	l̩³³	lɿ³³	l̩³³	l̩³³	l̩²²	li³³	ɬi³³	ɬl̩⁴⁴	ɬi⁴⁴	li³³	li³¹	ɬi⁵⁵	ɬi⁵⁵	ɬi⁵⁵	xɤ³³	pi²¹	lɤ⁵⁵
